               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090404,            0.030469,            0.040361,             0.71702,             0.27798,             0.30199,             0.10029,            0.049893,            0.017209,            0.023659,             0.07075,             0.00325,             0.00325
                   1,            0.059642,             0.02462,            0.024855,             0.17089,             0.39022,             0.19239,            0.063154,            0.047031,            0.010877,            0.012803,            0.040685,           0.0065182,           0.0065182
                   2,             0.05826,             0.01986,            0.021099,             0.17634,             0.41594,             0.41238,             0.19306,            0.040436,           0.0088261,           0.0098451,            0.010554,           0.0097203,           0.0097203
                   3,            0.050601,            0.016304,            0.018498,             0.16344,             0.37514,             0.33152,             0.10965,            0.035697,           0.0092517,           0.0084989,            0.009703,            0.009703,            0.009703
                   4,            0.044899,             0.01383,            0.015562,             0.29928,             0.69336,             0.53658,             0.26914,            0.033134,           0.0065804,            0.007327,            0.009703,            0.009703,            0.009703
                   5,            0.040162,            0.013197,            0.015475,             0.62594,              0.8031,             0.81668,             0.44651,            0.032108,           0.0058648,           0.0063826,            0.009604,            0.009604,            0.009604
                   6,            0.037197,            0.012083,            0.013598,             0.50076,             0.75802,             0.73206,             0.36471,            0.025058,           0.0061891,           0.0063591,            0.009505,            0.009505,            0.009505
                   7,            0.033786,            0.011147,            0.010649,             0.70424,             0.93121,             0.87399,             0.48238,            0.028504,           0.0054093,           0.0033709,            0.009406,            0.009406,            0.009406
                   8,            0.036214,            0.010897,           0.0087139,             0.94956,             0.95599,              0.9886,             0.63774,            0.021386,           0.0057211,           0.0031271,            0.009307,            0.009307,            0.009307
                   9,             0.03294,           0.0097501,           0.0066616,             0.95778,             0.56614,             0.59853,               0.413,            0.024466,           0.0087064,           0.0049395,            0.009208,            0.009208,            0.009208
                  10,            0.031613,            0.010347,           0.0056829,             0.91743,               0.967,             0.99226,              0.6337,            0.022402,           0.0059874,           0.0019872,            0.009109,            0.009109,            0.009109
                  11,            0.030198,           0.0098069,           0.0056764,             0.89865,             0.98261,             0.98893,             0.66768,            0.021283,           0.0056403,           0.0020325,             0.00901,             0.00901,             0.00901
